"VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_13	-06_nJnhORg_13-5-gloss	135.202	144.73	AND ME HAVE FS:1 FS:OF THOSE DAY WHERE ME RECENT WOKE+UP AND THING FS:S RECENT DON'T+WANT GO MY WAY"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_14	-06_nJnhORg_14-5-gloss	144.73	151.25	FS:SO ME CONTINUE TO FIGHT ME FIGHT FIGHT FIGHT THROUGH FS:IT NOT FEEL GREAT "
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_15	-06_nJnhORg_15-5-gloss	151.25	158.655	ME GET+IN CAR ME PROGRESS YOU+KNOW FS:OK FS:OK ME GOOD BUT ME STILL LITTLE+BIT LATE "
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_16	-06_nJnhORg_16-5-gloss	158.655	169.51	FS:SO TO THE NEXT JOB YOU+KNOW MOVE+AROUND PROGRESS ME GOT OUT TO GET SOME CLEANING THINGS OUT MY CAR AND LOCKED"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_17	-06_nJnhORg_17-5-gloss	169.51	186.33	AND ME GO GET MY KEY OUT FS:OF MY THING BOX AND NOT THERE FS:SO YOU+KNOW ME OBSERVE FOR MY KEY AND SURE ENOUGH THEY LOCKED IN MY CAR ME NOT HAVE ADD"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_18	-06_nJnhORg_18-5-gloss	186.33	196.03	HAVE NONE FS:AT HOME ME HAVE NONE ADD ME HAVE ADD KEY IN MY CAR AND ME HAVE MY REMOTE IN MY CAR"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_19	-06_nJnhORg_19-5-gloss	196.03	198.68	AND THAT TOUGH"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_20	-06_nJnhORg_20-5-gloss	198.68	210.29	AND KNOW YOU KNOW RECENT HAVE TO FIGHT THROUGH CLEANING AND ME HAVE TO HAVE FS:A LOCK FS:SMITH OUT AND OPEN+DOOR FOR ME ME HAVE TO GO TO ANOTHER JOB"
"-06_nJnhORg		-06_nJnhORg-5-gloss	-06_nJnhORg_21	-06_nJnhORg_21-5-gloss	210.29	223.83	SOMETIME WHEN THING FS:S NOT GO YOUR WAY YOU+KNOW YOU HAVE TOUGH DAY AND YOU GO TO+BED CL:C(bed, bedsheets) CL:CLOSED 2(person going under sheets) THAT NIGHTAND YOU HOPE WAKE+UP NEXT DAY AND BETTER"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_0	-1rM0t5FMiE_0-5-gloss	0.51	3.22	WE DOING HAIRCUTTING NOW"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_1	-1rM0t5FMiE_1-5-gloss	3.22	6.3	THERE ARE TWO TYPE FS:OF SCISSOR ME LIKE USE"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_2	-1rM0t5FMiE_2-5-gloss	6.3	18.01	STRAIGHT PAIR FS:OF SCISSORS THAT FS:ARE STRAIGHT LONG AND THEN CURVED FS:PAIR OF SCISSORS THAT HELP WITH CL:OPEN-B(FOOT, NON-DOMINANT HAND)+CL:OPEN-B(GOING AROUND FOOT, DOMINANT HAND) AROUND FS:FEET AND SURFACE LIKE THAT."
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_3	-1rM0t5FMiE_3-5-gloss	18.01	33.89	FIRST ME GO TO STRAIGHT UP HER FS:LEG TO WHERE ME POSITION FS:LEG WHERE ME WANT FS:IT THEN ME GO CL:2(CUTTING DOWNWARD) THE FS:BACKSIDE FS:OF THE FS:LEG"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_4	-1rM0t5FMiE_4-5-gloss	33.89	46.57	IF YOUR FS:DOG TEND TO MOVE YOU WANT TO HOLD AND RECENT CL:2(CUTTING DOWNWARD) AROUND FS:LEG TAKE FS:OFF THE LITTLE PIECES THAT ARE CL:1(LEG, NON-DOMINANT HAND)+CL:4(MESSY HAIR STANDING UP, DOMINANT HAND) "
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_6	-1rM0t5FMiE_6-5-gloss	49.15	83.5	AND THEN ME GO AROUND FRONT FS:AREA FS:OF THE FS:LEG ME GO TO TAKE THE ROUND SCISSOR AND ROUND FS:OFF THE BOTTOM AND CLEAN IT FS:UP NICE"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_7	-1rM0t5FMiE_7-5-gloss	83.5	104.326	REMOVE FS:HAIR AND PULL FS:LEG FS:UP CONTINUE FINISH WITH LITTLE PIECES FS:OF HAIR THAT ARE CL:1(LEG, NON-DOMINANT HAND)+CL:4(MESSY HAIR STANDING UP, DOMINANT HAND) HERE AND THERE"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_8	-1rM0t5FMiE_8-5-gloss	104.326	107.232	IT MAKE FS:IT NICE FOR FS:A SCISSOR FS:LEG"
"-1rM0t5FMiE		-1rM0t5FMiE-5-gloss	-1rM0t5FMiE_5	-1rM0t5FMiE_5-5-gloss	46.57	49.15	MAKE FS:A NICE LITTLE FS:LEG HERE"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_0	-1Uik-vwQoc_0-5-gloss	2.21	11.86	I-FORMAL FS:COOIE FS:GREY FS:LAVIN AND THIS FILM ABOUT SHOW HOW TO USE UNIQUE HEAD FS:STONES PUT IN YOUR YARD"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_1	-1Uik-vwQoc_1-5-gloss	11.86	24.72	OTHER WAY TO ADD INTEREST IN YOUR YARD IN OUR FAMILY WE MAKE LITTLE HEAD FS:STONES FOR ALL OUR DOGS THAT DIE BURY DIE"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_2	-1Uik-vwQoc_2-5-gloss	24.75	27.92	IN THIS SPECIFIC ONE IS OUR GOLD RECEIVE"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_3	-1Uik-vwQoc_3-5-gloss	27.92	34.06	FS:SCOOTER THIS HIS FINGERSPELL HIS NAME IN OLD FS:TYPESET"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_4	-1Uik-vwQoc_4-5-gloss	34.08	37.55	THESE ARE THE COLORS IN WERE IN HIS COLLAR"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_5	-1Uik-vwQoc_5-5-gloss	37.55	55.34	HE GOLD RECEIVER FS:SO WE HAVE THAT AND FS:HE ALSO LOVE TO FS:CH CHASE RACOON AND FS:HE CHASED ONE BEFORE FS:HE DIE FS:SO WE PUT RACCOON ON FS:IT"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_6	-1Uik-vwQoc_6-5-gloss	55.34	64.39	YOU CAN SPACE THAT AROUND IN YOUR YARD WITH SIMPLE FS:MOSAIC STEP STONE TECHNIQUE MAKE MORE INTERESTING"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_7	-1Uik-vwQoc_7-5-gloss	64.39	75.58	YOU CAN ADD FS:MEMORIAL PLAQUES OR PLAQUES FOR MEMBER FS:OF YOUR FAMILY THAT FS:AR NOT LIVE THERE AND YOU MISS IN RELATE TO REMEMBER MEMORIAL"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_8	-1Uik-vwQoc_8-5-gloss	75.58	79.47	THAT ADD FS:A NICE PERSONAL TOUCH TO YOUR YARD"
"-1Uik-vwQoc		-1Uik-vwQoc-5-gloss	-1Uik-vwQoc_9	-1Uik-vwQoc_9-5-gloss	79.47	87.15	 ADD FS:MOSAIC GLASS HEAD STONE TO YOUR YARD CAN MAKE FS:IT MORE PERSONAL AND UNIQUE"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_0	-1XUnputrgk_0-5-gloss	0.82	3.63	FS:OK ANOTHER THING FOR ME IS IMPORTANT"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_1	-1XUnputrgk_1-5-gloss	3.63	4.99	MAYBE NOT FS:BE FOR YOU"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_2	-1XUnputrgk_2-5-gloss	4.99	13.13	BUT FOR ME ME USE VERY STRONG CHEMICAL"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_3	-1XUnputrgk_3-5-gloss	13.14	18.47	SOME PEOPLE PREFER TO USE PRODUCT THAT NOT HAVE CHEMICAL"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_4	-1XUnputrgk_4-5-gloss	18.47	24.33	BUT BECAUSE ME FS:DO ME ENJOY HAVE THE NOT FS:INFECTANTS"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_5	-1XUnputrgk_5-5-gloss	24.33	27.6	ME LIKE TO WEAR MASK WHILE ME CLEAN"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_6	-1XUnputrgk_6-5-gloss	29.1	33.58	BECAUSE YOU NOT NEED TO FS:BE BREATHE IN THOSE CHEMICAL INHALE"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_7	-1XUnputrgk_7-5-gloss	33.58	36.16	ESPECIALLY WHEN YOU KNOW YOU PREGNANT"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_8	-1XUnputrgk_8-5-gloss	36.32	39.61	A LOT WOMEN A LOT FS:OF YOU+THERE"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_9	-1XUnputrgk_9-5-gloss	39.61	42.5	MEN TOO THAT CLEAN BATHROOM"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_10	-1XUnputrgk_10-5-gloss	44.12	47.35	GO+AHEAD FREE TO GET THE"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_11	-1XUnputrgk_11-5-gloss	47.73	50.17	YOU HAVE LITTLE MASK "
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_12	-1XUnputrgk_12-5-gloss	50.17	52.69	CAN FS:BE FIND FS:AT FS:HD FS:OR FS:LOWES"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_13	-1XUnputrgk_13-5-gloss	52.69	55.38	THEY ARE ACTUALLY CALLED PAINTER'S MASK"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_14	-1XUnputrgk_14-5-gloss	55.38	58.4	SOME FS:OF THEM ARE RECENT MADE OUT FS:OF PAPER"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_15	-1XUnputrgk_15-5-gloss	58.4	60.22	REAL AFFORDABLE"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_16	-1XUnputrgk_16-5-gloss	60.22	68.73	YOU CAN GET BOX FS:OF SEVERAL RECENT FOR AROUND FEW FS:OF DOLLAR"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_17	-1XUnputrgk_17-5-gloss	68.73	70.69	MAKE SURE YOU"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_18	-1XUnputrgk_18-5-gloss	71.27	75.03	IF YOU HAVE THOSE KEEP THEM HERE IN HAND"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_19	-1XUnputrgk_19-5-gloss	75.03	77.965	FS:IT PROTECT YOUR HEALTH WHEN YOU ARE CLEANING"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_20	-1XUnputrgk_20-5-gloss	77.965	82.412	NOT HAVE TO WORRY ABOUT DANGEROUS CHEMICALS GET INTO YOUR SYSTEM"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_21	-1XUnputrgk_21-5-gloss	82.412	86.56	AND IT MAKE THE WHOLE PROCESS A LOT SAFE FOR YOU"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_22	-1XUnputrgk_22-5-gloss	86.56	91.32	FS:AS FOR YOUR CHILDREN IF YOU HAVE CHILDREN THAT HELP CLEAN AROUND HOUSE"
"-1XUnputrgk		-1XUnputrgk-5-gloss	-1XUnputrgk_23	-1XUnputrgk_23-5-gloss	91.32	94.25	FS:SO WOULD RECOMMEND HAVE MASK READY AVAILABLE THERE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_0	-23PZTqtDBw_0-5-gloss	1.66	4.52	FS:OFF SEASON PRATICE FOR FOOT-BALL "
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_1	-23PZTqtDBw_1-5-gloss	5.0	7.92	ISOLATE FS:PLANK FS:DOG POINT"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_2	-23PZTqtDBw_2-5-gloss	7.92	8.57	FS:OK"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_3	-23PZTqtDBw_3-5-gloss	8.66	36.34	THIS IS THE LAST EXERCISE IN PRATICE OUR ISOLATE SERIES WORK  FROM THE BACK FS: BELL  FS:ROWS TO FS:THE TOPS FORCE FS:THE FS:TOPS AND GO TO DO FS:PLANK POSITION DO FS:DOG POINT(agent) WHICH SAME-AS EXERCISE US FS:DID  BEFORE EXEERCISE GO-AHEAD DO FS:IT ISOLATE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_4	-23PZTqtDBw_4-5-gloss	36.7	40.44	US ARE GO TO STICK WITH ANOTHER VAIRY INCLUDE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_5	-23PZTqtDBw_5-5-gloss	40.46	44.31	FS:SO FS:JONSEY GO-AHEAD CL2:(plank position) "
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_6	-23PZTqtDBw_6-5-gloss	44.31	52.91	USE YOUR BCL:(elbow)  FS:KNEES TO TOUCH UNDER YOUR BODY EACH TIME TO GET FULL BCL:(extention) FS:OUT "
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_7	-23PZTqtDBw_7-5-gloss	52.92	55.62	FS:SO TOUCH FS:OFF FULL BCL:(extention) FS:OUT"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_8	-23PZTqtDBw_8-5-gloss	55.62	56.58	ALRIGHT?"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_9	-23PZTqtDBw_9-5-gloss	56.97	71.76	GO-AHEAD FOCUS ON BCL:(shoulders) STABLE FS:OFF THE FS:OF BCL(shoulders) AND OFF THE FS:HIPS AND SAME-TIME WORK FOR BALANCE CONNECT MOVEMENT THROUGH YOUR FS:TORSO BCL:(torso) FS:AS YOU FS:ARE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_10	-23PZTqtDBw_10-5-gloss	72.59	88.75	GO-AHEAD WORK ONE SIDE FS:OF THE BODY THEN WORK THE OTHER SIDE FS:OF THE BODY  WANT TO FOLLOW FS:A AGAIN(over time)  FS:SCHEME FS:OF ANOTHER AGAIN(over time) TEN TO FIFTEN AGAIN(overtime) FS:PER SIDE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_11	-23PZTqtDBw_11-5-gloss	89.16	92.59	AGAIN THAT IS TEN TO FIFTEN AGAIN(over time) FS:PER SIDE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_12	-23PZTqtDBw_12-5-gloss	92.84	98.39	FOR THE BIG GUY IT GO TO BE LITTLE-BIT HARD KNOW BUT STILL TRY TO STAY TO HELP"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_13	-23PZTqtDBw_13-5-gloss	98.98	105.2	TO HELP YOU WITH YOUR STABLE AND CONNECT BALANCE CL:1(on the field)"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_14	-23PZTqtDBw_14-5-gloss	105.22	123.33	AND THEN US FINISH WITH THIS EXERCISE WHEN  US BACK TO START EXERCISE AGAIN WITH EXERCISE ONE YOU GO TO HAVE MUCH MORE STABLE AND BALANCE TO HELP DEVELOPE MORE POWER"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_15	-23PZTqtDBw_15-5-gloss	126.12	129.78	FS:SO THANK-YOU MUCH FOR CONNECT ME APPRECIATE"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_16	-23PZTqtDBw_16-5-gloss	129.77	135.11	I-AM FS:MIKE FS: ROSENGART AND THIS MY EXERCISE SHARE(agent) FS: JONSEY"
"-23PZTqtDBw		-23PZTqtDBw-5-gloss	-23PZTqtDBw_17	-23PZTqtDBw_17-5-gloss	135.26	140.04	CHECK US OUT AGAIN ONLINE AND GOOD WORKOUT"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_0	-3bw4dQEyF8_0-5-gloss	0.48	9.96	YOU KNOW FS:A MEDICAL EMERGENCY IN INFANT CAN BE PRETTY SCARE AND TRAUMATIC PROCESS FOR PARENT FS:OR FS:A RESCUER"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_1	-3bw4dQEyF8_1-5-gloss	9.96	19.23	HELLO I-FORMAL FS:CAPTAIN FS:JOE FS:BRUNI AND ME GO TO TALK ABOUT HOW TO STOP CHOKE IN BABY VICTIM"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_2	-3bw4dQEyF8_2-5-gloss	19.23	34.85	THE BABY VICTIM MUST BE FIRST PLACE IN THE RESCUE ARM SUPPORT HEAD AND THE CHEST AREA ON FOREARM."
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_3	-3bw4dQEyF8_3-5-gloss	34.85	45.315	FIND PLACE WHERE YOU CAN SIT WITH VICTIM PLACE THEM HEAD DOWN AND SUPPORT HEAD BABY CL:CLOSED FIST(PUT HEAD IN HAND)"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_4	-3bw4dQEyF8_4-5-gloss	46.79	58.725	YOU WILL THEN DO A SERIES FS:OF FS:5 BACK FS:BLOWS AND FS:5 CHEST COMPRESSION IN SUCCESSIVE THAT BE FS:1 FS:2 FS:3 FS:4 FS:5"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_5	-3bw4dQEyF8_5-5-gloss	58.725	80.45	FLIP+OVER VICTIM FLIP+OVER SUPPORT HEAD BODY AND ON OTHER FOREARM AND GO+AHEAD DO FS:5 CHEST THRUST UNTIL THE THING HAVE FS:BEEN FS:DISLODGED"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_6	-3bw4dQEyF8_6-5-gloss	80.795	103.14	AFTER PROCESS OF FS:5 BACK FS:BLOWS AND CHEST FS:THRUSTS UNTIL THE THING FS:IS SPIT+OUT FROM BABY"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_7	-3bw4dQEyF8_7-5-gloss	103.15	104.88	I-FORMAL CAPTAIN FS:JOE FS:BRUNY"
"-3bw4dQEyF8		-3bw4dQEyF8-5-gloss	-3bw4dQEyF8_8	-3bw4dQEyF8_8-5-gloss	104.88	107.05	STAY SAFE UNTIL NEXT TIME"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_0	-3sFcDBFxc8_0-5-gloss	1.72	4.77	ALL+RIGHT ME READY START OUR FIRE"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_1	-3sFcDBFxc8_1-5-gloss	4.77	23.21	WHAT ME ALWAYS LIKE TO HAVE NEAR IS MY FS:BLOWER CL:5-FLAT CLAW(blowing back and forth) IN FS:CASE IT NEED EXTRA MORE FS:AIR AND FS:OX TO GET MOVE "
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_2	-3sFcDBFxc8_2-5-gloss	23.21	31.73	ME NOT THINK GO TO BE ISSUE NOW SINCE WE HAVE NICE LITTLE+BIT WIND WITH US"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_3	-3sFcDBFxc8_3-5-gloss	33.93	40.36	AND THAT SPEAK TO THE NEXT POINT FS:OF WHICH AREA YOU SHOULD LIGHTER CL:1(item) USE LIGHTER FIRST"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_4	-3sFcDBFxc8_4-5-gloss	40.36	44.62	 AROUND FIRE FS:2 FS:3 FS:4 FS:SPARKS IF YOU CAN"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_5	-3sFcDBFxc8_5-5-gloss	44.62	54.75	BUT WHAT WE WANT IS TO LIGHTER WHEN WIND IS COMING FROM BECAUSE IT WILL CATCH ON FIRE CATCH IT FS:ALL ON FIRE"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_6	-3sFcDBFxc8_6-5-gloss	54.75	59.63	MAYBE NOT NEED TO LIGHTER IN DIFFERENT FS:SPOTS SURROUND "
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_7	-3sFcDBFxc8_7-5-gloss	59.63	64.29	BUT WE ACTUALLY CAN TO INFORM ONCE YOU GET THERE AND LIGHTER CL:1(item being lit) "
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_8	-3sFcDBFxc8_8-5-gloss	64.29	67.82	 AND ME HOPE GO+AHEAD"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_9	-3sFcDBFxc8_9-5-gloss	68.5	75.96	 GO+AHEAD LIGHT CL:1(item being lit)  MAYBE TAKE FEW FS:OF TIME TO GET THE LIGHTER PROGRESS RUNNING"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_10	-3sFcDBFxc8_10-5-gloss	75.96	84.93	BUT YOU CAN PUT THESE ALOT AHEAD INSTEAD THAN HAVE FS:A HAND HELD LIGHTER AND TRY TO GET YOUR HAND IN THERE"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_11	-3sFcDBFxc8_11-5-gloss	84.93	88.11	FS:OR FS:EVEN USE MATCH FOR THOSE"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_12	-3sFcDBFxc8_12-5-gloss	88.11	89.87	TEND TO WORK BETTER"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_13	-3sFcDBFxc8_13-5-gloss	89.87	92.41	WE WILL GO+AHEAD AND SEE IF NOT TOO WINDY"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_14	-3sFcDBFxc8_14-5-gloss	92.41	94.15	GOT FLAME IN THERE"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_15	-3sFcDBFxc8_15-5-gloss	94.15	96.689	LOOK LIKE IT IS START TO PICK+UP"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_16	-3sFcDBFxc8_16-5-gloss	96.689	104.105	CAN DEFINITELY SEE SMOKE AND WHERE THERE IS SMOKE THERE FIRE"
"-3sFcDBFxc8		-3sFcDBFxc8-5-gloss	-3sFcDBFxc8_17	-3sFcDBFxc8_17-5-gloss	104.105	111.145	AND HOPEFULLY YOU CAN SEE SMOKE ON THERE AND FS:IT SEARCH LIKE IT WILL CATCH PICK+UP REAL GOOD"
